,k,iteration,H,cost,converged,R1,R2
0,0,0,2.3615296,-2.3614693,,-0.005741954,0.0052344385
1,1,50,2.3475518,-0.48359442,,0.0037081242,0.004850666
2,1,100,2.293931,1.5571082,,0.0078731775,0.003877352
3,1,150,2.2910998,-0.18293214,,0.0051828623,0.0039116866
4,1,200,2.2776682,-0.9829577,,-0.0023249388,0.0045264633
5,1,250,2.2608678,-0.6720617,,0.003333509,0.0045457496
6,1,300,2.2641451,-1.3719327,,-1.1026859e-05,0.0042242305
7,1,350,2.309514,-1.271615,,0.0014179349,0.0043298313
8,1,400,2.1745524,-0.758837,,-0.0028062463,0.0045209834
9,1,450,2.1842954,-0.98841226,,-0.0021549463,0.0043902015
10,1,500,2.0861359,-0.8823172,,0.003926933,0.0029420354
11,1,550,2.2539454,-1.0423044,,0.0015893579,0.0046590515
12,1,600,2.1026123,-0.974216,,-0.0027301311,0.0038877125
13,1,650,2.1394815,-1.0222683,,-0.0027566552,0.003839937
14,1,700,1.9749662,7.6441107,,0.013661683,0.002395824
15,1,750,2.0487413,2.3454723,,0.008984685,0.0026757638
16,1,800,1.8453714,9.204467,,0.014714718,0.0021151444
17,1,850,1.8383963,10.898148,,0.015855074,0.0018296173
18,1,900,1.8442273,4.8761506,,0.011419058,0.0020031654
19,1,950,1.8613346,5.40347,,0.011857688,0.0021659462
20,1,1000,1.8551581,5.0684023,,0.011607826,0.0019312116
21,1,1050,2.028203,-1.1363068,,0.003063202,0.0029076994
22,1,1100,1.9256921,-0.9422096,,0.00357306,0.0026273355
23,1,1150,1.9837451,-1.3930466,,0.0004913807,0.0034018396
24,1,1200,2.0844276,-1.1894023,,0.0027921796,0.0031787162
25,1,1250,2.1050804,-0.76273096,,0.0039777756,0.0033202847
26,1,1300,2.0804613,3.094056,,0.009778023,0.0028072428
27,1,1350,2.021096,-0.94113755,,0.0037062764,0.0028040474
28,1,1400,2.0523705,-0.043559313,,-0.004770994,0.004172989
29,1,1450,2.0302515,-1.2774206,,-0.001914978,0.00337483
30,1,1500,2.0606344,-1.3368526,,-0.0017058253,0.0034008524
31,1,1550,2.09551,-1.309875,,0.002085805,0.003370774
32,1,1600,2.0456312,-1.4686301,,-0.00037008524,0.0033768415
33,1,1650,2.0169435,-1.1240952,,0.0022671819,0.0035660695
34,1,1700,2.0234306,-1.4246354,,-0.0010404587,0.0033005076
35,1,1750,2.069571,-1.4252458,,-0.00054472685,0.0035482077
36,1,1800,2.0427713,-1.4373353,,-0.00089401007,0.003362955
37,1,1850,2.059637,-1.1139746,,-0.0021479726,0.0037814635
38,1,1900,2.0289135,-1.1837776,,0.0020529628,0.0035620304
39,1,1950,2.0651658,-1.1385003,,0.0028570294,0.0032203556
40,1,2000,1.999025,-1.4258195,,0.0017628074,0.002890782
41,1,2050,1.9761504,-1.5624247,,-0.000103890896,0.0028746692
42,1,2100,2.0115259,-1.2792187,,-0.0018083453,0.0033728373
43,1,2150,1.9789717,-1.5571743,,0.00015109777,0.0029005376
44,1,2200,1.993535,-1.488142,,-0.00045216084,0.0031469683
45,1,2250,2.0301929,-0.44984448,,-0.0042805076,0.0036447528
46,1,2300,2.0146441,-1.3066831,,-0.0015930533,0.0034090178
47,1,2350,2.0478797,-1.2326171,,-0.0025886297,0.0030990718
48,1,2400,2.0314126,-0.40377617,,-0.0040445924,0.0040241773
49,1,2450,2.0501995,3.8769279,,-0.009948611,0.004423537
50,1,2500,2.0702894,-1.318208,,-0.0012321472,0.003677423
51,1,2550,2.1397295,-1.028667,,-0.0016298294,0.0044232234
52,1,2600,2.0874217,-1.215442,,-0.0012670159,0.0039792294
53,1,2650,2.0539386,-1.2082548,,0.0023261905,0.0033915355
54,1,2700,2.0716212,-1.337166,,-0.0009070039,0.003723768
55,1,2750,2.0271568,-1.4011183,,0.0003491044,0.0035212068
56,1,2800,2.0895307,3.5287144,,-0.009552002,0.004596103
57,1,2850,2.1062393,10.445337,,-0.014836907,0.0055585704
58,1,2900,2.022119,9.826693,,-0.014372885,0.0055132937
59,1,2950,2.0024467,0.48364735,,-0.0052096844,0.004751954
60,1,3000,1.9651428,-0.9321444,,-0.0010662079,0.004418503
61,1,3050,1.5078559,20.328232,,0.020721674,0.002708132
62,1,3100,1.4712338,10.811701,,0.015310407,0.0033541196
63,1,3150,1.5647622,3.7731328,,0.009574354,0.00388454
64,1,3200,1.5624266,1.1088052,,0.0062155128,0.0038460419
65,1,3250,1.6079895,0.7444391,,0.0058650374,0.003556671
66,1,3300,1.581222,-0.39358473,,0.0030056834,0.0038364846
67,1,3350,1.6502643,-0.42099738,,0.0032497048,0.003744964
68,1,3400,1.5882623,-0.56248343,,0.00022530556,0.0045238053
69,1,3450,1.5122056,-0.7119063,,0.0017642975,0.003590716
70,1,3500,1.6118065,-0.16437042,,-0.0030873418,0.0044064773
71,1,3550,1.7217387,-0.6605618,,0.001149118,0.004461285
72,1,3600,1.5761508,-0.9942285,,0.0007619858,0.0033253306
73,1,3650,1.6215276,-0.71691173,,0.0013685226,0.004027339
74,1,3700,1.6905383,-0.78573865,,0.0005340576,0.0042202813
75,1,3750,1.7874212,-0.5951294,,0.0017285347,0.0045670564
76,1,3800,1.6257709,-0.608287,,-0.0006185174,0.004468458
77,1,3850,1.7071697,-0.74093074,,-0.0010381341,0.004271657
78,1,3900,1.8098199,1.9809039,,-0.0066241026,0.005651172
79,1,3950,1.7975174,0.25982463,,-0.003672123,0.0052595013
80,1,4000,1.6659687,0.12647665,,-0.0034957528,0.004860928
81,1,4050,1.7302713,-0.84396666,,-2.783537e-05,0.0042101447
82,1,4100,1.7472552,-0.5925827,,-0.0013226867,0.0046199514
83,1,4150,1.7625977,-0.8530188,,0.0007754564,0.0041940724
84,1,4200,1.6735656,0.3760941,,-0.0038984418,0.005078912
85,1,4250,1.6228741,-0.6871176,,-0.0017207265,0.00396916
86,1,4300,1.759782,-0.4347967,,-0.0013414621,0.004969928
87,1,4350,1.6461109,-0.72862476,,0.002072394,0.0037489873
88,1,4400,1.6735419,-0.7298231,,-0.0005504489,0.0043094526
89,1,4450,1.6810299,-0.7129041,,0.0012410879,0.004221637
90,1,4500,1.6364636,-1.0334604,,0.0016083121,0.0030778884
91,1,4550,1.7030666,-0.77022177,,0.0021924973,0.003721539
92,1,4600,1.860163,15.369608,,-0.017153263,0.0070965462
93,1,4650,1.9440715,6.0807257,,-0.0108248,0.0065817684
94,1,4700,1.8091855,0.6143503,,-0.0037087202,0.005892038
95,1,4750,1.8188279,-0.16964114,,0.0001603961,0.0057409066
96,1,4800,1.8387913,0.88668454,,-0.004130006,0.0061198506
97,1,4850,1.8446411,-0.24737501,,-0.0010573864,0.0055522295
98,1,4900,1.8021806,-0.06822991,,-0.0016326904,0.005658033
99,1,4950,1.8225435,0.8162507,,-0.0039184093,0.006117348
100,1,5000,1.7981342,-0.11917448,0,-0.0018499494,0.005491528
101,2,5050,0.6580378,182.98323,,0.030559361,0.0024328069
102,2,5100,-1.5683446,320.74515,,0.04031694,0.001726376
103,2,5150,-1.2520857,211.77896,,0.032839596,0.0011679701
104,2,5200,-2.8264916,124.01641,,0.024994314,0.0011246747
105,2,5250,-1.1694671,36.24192,,0.013610601,0.0007690961
106,2,5300,-1.7049692,3.1605148,,0.0027750134,0.0006342677
107,2,5350,-1.0081908,2.7489986,,0.003119588,0.00056168635
108,2,5400,0.0112669375,0.7767788,,0.00060898066,0.0010801707
109,2,5450,-0.74944776,1.8431623,,-0.0010854006,0.00090117054
110,2,5500,-0.751855,1.4273213,,0.0015202165,0.00071451825
111,2,5550,0.08702819,2.1238892,,0.0035273433,0.0005661758
112,2,5600,-0.88374037,1.5850754,,0.00044232607,0.0009945994
