,iteration,loss,H,KL
0,0,-9.638561,11.10995,
1,100,-9.850894,11.429197,
2,200,-9.8345995,11.361387,
3,300,-9.849163,11.434917,
4,400,-9.865834,11.390764,
5,500,-9.87976,11.422102,
6,600,-9.85527,11.389,
7,700,-9.875719,11.453421,
8,800,-9.875731,11.470304,
9,900,-9.875243,11.421162,
10,1000,-9.8692665,11.409064,
11,1100,-9.858022,11.385931,
12,1200,-9.888428,11.455298,
13,1300,-9.869823,11.403414,
14,1400,-9.887128,11.355731,
15,1500,-9.888946,11.426449,
16,1600,-9.880739,11.382439,
17,1700,-9.85479,11.366893,
18,1800,-9.8485155,11.354668,
19,1900,-9.882102,11.458697,
20,2000,-9.873068,11.383727,
21,2100,-9.856712,11.343286,
22,2200,-9.840991,11.407995,
23,2300,-9.878927,11.396971,
24,2400,-9.862944,11.374721,
25,2500,-9.865065,11.405373,
26,2600,-9.882553,11.407523,
27,2700,-9.86461,11.443769,
28,2800,-9.885971,11.40434,
29,2900,-9.863126,11.39754,
30,3000,-9.881421,11.514049,
31,3100,-9.879427,11.397043,
32,3200,-9.864451,11.385621,
33,3300,-9.877472,11.376149,
34,3400,-9.868309,11.462084,
35,3500,-9.870509,11.464663,
36,3600,-9.877133,11.383369,
37,3700,-9.862993,11.509761,
38,3800,-9.885834,11.43217,
39,3900,-9.846467,11.383105,
40,4000,-9.885112,11.474047,
41,4100,-9.87533,11.415927,
42,4200,-9.868261,11.384853,
43,4300,-9.883459,11.388905,
44,4400,-9.891725,11.389393,
45,4500,-9.860546,11.355642,
46,4600,-9.88375,11.47444,
47,4700,-9.898878,11.437796,
48,4800,-9.8860035,11.433018,
49,4900,-9.892216,11.446897,
50,5000,-9.869959,11.451803,
51,5100,-9.879995,11.486117,
52,5200,-9.875836,11.384969,
53,5300,-9.875451,11.436737,
54,5400,-9.859893,11.397932,
55,5500,-9.894976,11.434848,
56,5600,-9.863486,11.41701,
57,5700,-9.87451,11.441799,
58,5800,-9.885343,11.362971,
59,5900,-9.870141,11.39399,
60,6000,-9.883969,11.45593,
61,6100,-9.87994,11.4287405,
62,6200,-9.878028,11.425494,
63,6300,-9.901463,11.407142,
64,6400,-9.871988,11.429723,
65,6500,-9.87782,11.507224,
66,6600,-9.885092,11.468558,
67,6700,-9.869342,11.4009695,
68,6800,-9.87958,11.420617,
69,6900,-9.885095,11.469058,
70,7000,-9.910784,11.41609,
71,7100,-9.879372,11.405488,
72,7200,-9.86356,11.406025,
73,7300,-9.872188,11.411495,
74,7400,-9.878236,11.449835,
75,7500,-9.868352,11.44636,
76,7600,-9.862297,11.456688,
77,7700,-9.874323,11.431146,
78,7800,-9.885043,11.437902,
79,7900,-9.892269,11.415623,
80,8000,-9.88587,11.482601,
81,8100,-9.861107,11.459562,
82,8200,-9.887582,11.386024,
83,8300,-9.869625,11.349701,
84,8400,-9.878176,11.410443,
85,8500,-9.864329,11.397011,
86,8600,-9.869223,11.436065,
87,8700,-9.870717,11.496791,
88,8800,-9.889553,11.407944,
89,8900,-9.855921,11.442373,
90,9000,-9.889851,11.448279,
91,9100,-9.899972,11.421406,
92,9200,-9.893637,11.462437,
93,9300,-9.882611,11.393987,
94,9400,-9.876852,11.463762,
95,9500,-9.896776,11.430184,
96,9600,-9.873988,11.391302,
97,9700,-9.866926,11.411497,
98,9800,-9.881905,11.398592,
99,9900,-9.8897085,11.370941,
100,10000,-9.867008,11.418621,
