,k,iteration,H,cost,converged,R1,R2
0,0,0,2.3413126,-2.341199,,-0.009251952,0.005293203
1,1,50,2.4216535,0.5128703,,-0.0050739646,0.005739805
2,1,100,2.4057295,-1.0705358,,0.0008211136,0.0051019257
3,1,150,2.2431216,-1.0441865,,0.0023581982,0.0042915735
4,1,200,2.3233182,-0.5517466,,-0.0028494596,0.0052260896
5,1,250,2.2247365,-1.0037718,,0.0019386411,0.0045454334
6,1,300,2.2020037,-1.128638,,0.0018446445,0.004250247
7,1,350,2.2468379,-1.097014,,0.0006349087,0.0047532483
8,1,400,2.181084,-1.2320869,,0.001147747,0.004202692
9,1,450,2.2323737,-0.87484896,,-0.0024724603,0.0045866584
10,1,500,2.180684,-0.8179829,,-0.002787888,0.004413808
11,1,550,2.1971874,2.4765892,,0.008771658,0.0040661474
12,1,600,2.2903624,-0.6977476,,0.002303362,0.0051523605
13,1,650,2.2626908,0.8491664,,-0.005304992,0.0058390237
14,1,700,2.2885928,2.9005432,,0.008755386,0.005208257
15,1,750,2.34718,-0.4241898,,-0.003950298,0.004780685
16,1,800,2.442222,1.2343514,,-0.006007135,0.006119297
17,1,850,2.4325085,0.60131884,,-0.004525602,0.00633999
18,1,900,2.4433722,-0.5353948,,0.0027241707,0.005544226
19,1,950,2.2897768,13.261271,,0.017218232,0.0038148984
20,1,1000,2.1053894,20.117445,,0.020930707,0.0025223303
21,1,1050,1.9491745,11.336512,,0.016165555,0.0020948905
22,1,1100,1.996943,-0.8546921,,-0.0023501515,0.0041619474
23,1,1150,1.9431968,-1.1920536,,0.00203228,0.0033004093
24,1,1200,2.0030496,-0.7212626,,-0.0030305386,0.0040560546
25,1,1250,1.7830899,-0.25878477,,0.004502833,0.0031954027
26,1,1300,1.588562,0.7241142,,0.006176412,0.0028470084
27,1,1350,1.6197646,-0.58520067,,-0.0018544793,0.004153575
28,1,1400,1.600759,-0.5078274,,0.0025378466,0.003926572
29,1,1450,1.5976665,0.23324656,,0.00526762,0.0029783286
30,1,1500,1.6156595,-0.83279806,,0.0014196038,0.0036935015
31,1,1550,1.6479602,-0.036136985,,0.004555702,0.0033885166
32,1,1600,1.6282849,0.15502393,,0.005025804,0.003226061
33,1,1650,1.6966077,-0.7157234,,-0.0022627711,0.0038075652
34,1,1700,1.6047331,-0.73511267,,0.0011023879,0.004022083
35,1,1750,1.6245625,-0.6140729,,0.002172172,0.003935919
36,1,1800,1.6517859,-0.69152987,,-0.00022524595,0.004376572
37,1,1850,1.5904213,-0.72460794,,0.0023492575,0.0034347135
38,1,1900,1.5760454,0.051279664,,0.0044134855,0.0036149197
39,1,1950,1.6332899,-0.9884593,,0.0012702346,0.0033590351
40,1,2000,1.6254435,0.10325253,,-0.0041228533,0.004192374
41,1,2050,1.6441487,-0.05869353,,-0.004205942,0.0037442157
42,1,2100,1.6167057,0.55733585,,0.005693972,0.0033255848
43,1,2150,1.6564386,-0.9503015,,-0.001403451,0.0034861248
44,1,2200,1.6737283,-0.17992878,,0.0041874647,0.0035129944
45,1,2250,1.6708298,-0.04569912,,0.004555404,0.003427959
46,1,2300,1.7620904,-0.9552525,,-0.0012426972,0.0038200081
47,1,2350,1.5805173,-1.031759,,0.0005431771,0.0032680458
48,1,2400,1.6132715,-0.60163057,,-0.0014277697,0.0042654765
49,1,2450,1.6562725,-0.82380664,,0.00084656477,0.0039915717
50,1,2500,1.719573,4.925183,,0.011268675,0.002431477
51,1,2550,1.7829218,-0.9261984,,-0.00021064281,0.004134017
52,1,2600,1.7096546,-0.69092333,,0.0027879477,0.003549926
53,1,2650,1.6677982,-1.0566599,,0.0014009476,0.0032031406
54,1,2700,1.6730462,-0.81373507,,0.0014217496,0.0038942075
55,1,2750,1.6983404,5.5452085,,-0.011061132,0.0047457702
56,1,2800,1.7343918,-0.27808666,,-0.0018344522,0.0050755185
57,1,2850,1.7286141,-1.0562835,,-0.0003719926,0.003648045
58,1,2900,1.7762039,-0.45650673,,-0.001912117,0.004768412
