,k,iteration,H,cost,converged,R1,R2
0,0,0,-21.79338,4138.1016,,6.741582,63.803284
1,1,100,-23.536339,27.978725,,1.6016674,9.288831
2,1,200,-23.338966,24.043633,,0.79049253,3.6699352
3,1,300,-23.362967,23.498272,,0.40470314,1.5944631
4,1,400,-22.889647,23.058676,,0.45287466,1.7819867
5,1,500,-22.677069,23.023579,,0.4766655,2.5890107
6,1,600,-22.786278,22.96156,,0.3902564,1.831213
7,1,700,-22.538479,22.918966,,0.12317324,2.7558253
8,1,800,-22.738031,22.879982,,0.18129873,1.6751554
9,1,900,-22.737926,22.82883,,0.42037106,1.2811599
10,1,1000,-22.775303,22.851528,,0.43049574,1.1572325
11,1,1100,-22.707739,22.808844,,0.059749603,1.4207432
12,1,1200,-22.711992,22.81223,,0.048606873,1.4150589
13,1,1300,-22.672941,22.894524,,0.05108261,2.1045256
14,1,1400,-22.738071,22.784319,,0.12846231,0.9531195
15,1,1500,-22.57682,22.942553,,0.48372316,2.6609485
16,1,1600,-22.702785,22.834,,0.1927681,1.6084564
17,1,1700,-22.633745,22.834236,,0.33655357,1.9739685
18,1,1800,-22.671385,22.803032,,-0.10017109,1.6195452
19,1,1900,-22.63183,22.8958,,0.09612322,2.2956781
20,1,2000,-22.65995,22.756721,0,0.035448074,1.3907404
21,2,2100,-22.811668,22.983044,,0.24627209,0.9078591
22,2,2200,-22.774721,22.932257,,0.011789322,0.86400294
23,2,2300,-22.748266,22.99529,,0.37319136,1.1994123
24,2,2400,-22.682154,23.011183,,0.3285308,1.5046911
25,2,2500,-22.893854,23.02838,,0.14686775,0.7523117
26,2,2600,-22.790586,22.929659,,0.1372695,0.77421796
27,2,2700,-22.80603,22.955153,,0.20281029,0.8140423
28,2,2800,-22.647686,22.86674,,0.14177799,1.1162663
29,2,2900,-22.888315,23.00229,,0.08776188,0.6585902
30,2,3000,-22.715628,22.936205,,0.38675404,1.0929513
31,2,3100,-22.81252,22.958284,,0.028317928,0.81077754
32,2,3200,-22.72613,22.977264,,0.2574892,1.2307665
33,2,3300,-22.68911,22.887352,,0.105792046,1.0341966
34,2,3400,-22.83039,22.964664,,0.057512283,0.7568674
35,2,3500,-22.731178,23.00876,,0.24134159,1.3314731
36,2,3600,-22.612497,22.919773,,-0.018496513,1.4519062
37,2,3700,-22.747286,22.918903,,0.12330675,0.9206593
38,2,3800,-22.62521,22.90494,,0.08224106,1.3508229
39,2,3900,-22.732525,22.918053,,0.07134771,0.9829842
40,2,4000,-22.770802,22.965937,0,0.022418022,1.0247891
41,3,4100,-22.90413,23.184608,,0.17002058,0.8476504
42,3,4200,-22.813536,23.196505,,0.30964422,1.0670054
43,3,4300,-23.025148,23.042929,,0.08461571,0.066770196
44,3,4400,-23.00116,23.050373,,-0.0018191338,0.18898976
45,3,4500,-23.066172,23.111992,,0.013025761,0.17642057
46,3,4600,-22.904064,23.07567,,0.12872791,0.5672667
47,3,4700,-22.83362,23.037409,,0.11820984,0.6565753
48,3,4800,-22.886131,23.044914,,0.26464796,0.5130434
49,3,4900,-22.949112,23.11502,,0.08925676,0.55423677
50,3,5000,-22.878347,23.046564,,-0.05375099,0.56454635
51,3,5100,-22.863794,23.12942,,-0.08186674,0.82027936
52,3,5200,-23.074348,23.108936,,-0.0793767,0.13494253
53,3,5300,-22.916157,23.13104,,0.074222565,0.68900824
54,3,5400,-22.854908,23.01263,,0.32128716,0.4993099
55,3,5500,-22.840698,23.024193,,-0.06273699,0.6069913
56,3,5600,-22.87703,22.999866,,0.04598713,0.430009
57,3,5700,-22.876507,23.07934,,-0.08635712,0.65893483
58,3,5800,-22.85363,23.014711,,0.071305275,0.5416068
59,3,5900,-22.993715,23.084751,,0.19875956,0.31474745
60,3,6000,-22.892916,23.07217,0,0.2124114,0.5793605
61,4,6100,-22.978672,23.082872,,0.10957718,0.25516033
62,4,6200,-23.131847,23.168884,,0.078196526,0.08912945
63,4,6300,-22.944778,23.162527,,0.07932758,0.52084255
64,4,6400,-23.055809,23.105335,,-0.022825718,0.136307
65,4,6500,-22.953196,23.200418,,0.09536743,0.581612
66,4,6600,-23.100813,23.108381,,0.17520952,-0.011109233
67,4,6700,-22.993956,23.149572,,-0.04257822,0.39661586
68,4,6800,-23.000513,23.077469,,-0.007537365,0.20459664
69,4,6900,-23.030079,23.137648,,0.34179544,0.209795
70,4,7000,-22.836458,23.116705,,0.19879198,0.6337856
71,4,7100,-22.97168,23.241812,,0.09848547,0.62904906
72,4,7200,-23.025541,23.141588,,-0.08831215,0.3078971
73,4,7300,-22.913166,23.089796,,0.22450256,0.40407443
74,4,7400,-23.148806,23.162415,,-0.094186306,0.047680616
75,4,7500,-22.935501,23.10047,,0.055036545,0.406937
76,4,7600,-22.97012,23.083141,,0.09183216,0.27958417
77,4,7700,-22.98133,23.018173,,0.013826847,0.09844792
78,4,7800,-23.162714,23.13687,,-0.08599901,-0.06390673
79,4,7900,-22.970215,23.168636,,0.07028103,0.47984588
80,4,8000,-23.065136,23.153795,1,0.24285746,0.18877864
