,k,iteration,H,cost,converged,R1,R2
0,0,0,2.4064977,-2.4063337,,-0.011358619,0.005914337
1,1,50,2.3738148,-1.0345298,,-0.0014517903,0.004967696
2,1,100,2.363095,0.011197329,,-0.0036013722,0.005875029
3,1,150,2.4197865,-0.019832611,,0.0025299191,0.0064496966
4,1,200,2.3717349,-0.25609255,,0.0028640628,0.0058403756
5,1,250,2.3642051,-0.78493285,,0.001611054,0.0053842315
6,1,300,2.3289638,1.0593274,,0.005810976,0.005830813
7,1,350,2.3459098,-0.14613414,,-0.0025202036,0.0061354777
8,1,400,2.397994,-0.41929758,,0.0007995367,0.0062397653
9,1,450,2.3583155,0.93167615,,-0.0047389865,0.0065834518
10,1,500,2.337849,-0.11344385,,-0.003089726,0.00591115
11,1,550,2.3571541,-0.89092076,,0.0023384094,0.0048843124
12,1,600,2.3036263,1.6076865,,0.007215619,0.005114792
13,1,650,2.3900797,4.116928,,-0.008652866,0.0074342503
14,1,700,2.2194016,1.4195304,,-0.0046880245,0.0071274866
15,1,750,2.3123617,1.287507,,-0.005084336,0.0067931516
16,1,800,2.2996345,1.6526432,,0.00621742,0.006355253
17,1,850,2.241881,-0.16292405,,0.0041172504,0.0049625984
18,1,900,1.9226459,10.971793,,0.015799522,0.002874692
19,1,950,1.281304,11.268738,,0.015611112,0.0027007456
20,1,1000,1.1233345,-0.25385743,,-2.2232533e-05,0.004170018
21,1,1050,1.4051993,0.0061683655,,0.0033276677,0.0041417363
22,1,1100,1.1248854,-0.012968063,,0.0007479191,0.0046560676
23,1,1150,1.3644348,-0.43945116,,-0.00020325184,0.0042963196
24,1,1200,1.6020371,3.256734,,-0.008324444,0.0052800616
25,1,1250,1.2001412,0.21924627,,0.002829969,0.0045143133
26,1,1300,-0.33227187,5.5219054,,-0.008510828,0.005599864
27,1,1350,1.0499735,3.4007125,,-0.0075767636,0.005621954
28,1,1400,1.7125832,1.3363291,,-0.0050852895,0.0059260507
29,1,1450,0.5992786,23.52555,,0.021405458,0.004929802
30,1,1500,0.6608066,13.992656,,0.016427398,0.004817662
31,1,1550,0.90376145,0.94116527,,-0.00050258636,0.0060535893
32,1,1600,0.6842723,2.1087444,,0.0052276254,0.0053415606
33,1,1650,0.8995018,0.5917177,,0.0023846626,0.004913021
