,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,216.39679,7138.6045,,0.76473546,9.16524,3.648272,85.188644
1,1,50,191.5459,1952078.6,,0.7283112,7.8109274,2.4813244,61.94225
2,1,100,168.16206,974865.8,,0.44602233,6.550989,1.8853971,43.62796
3,1,150,152.01129,646946.1,,0.36910093,5.9031878,1.6354866,35.447674
4,1,200,137.12384,425675.12,,0.2748385,5.3110113,1.1342671,28.67151
5,1,250,63.03242,129472.81,,-0.05950913,3.896563,0.67136055,15.602379
6,1,300,-400.8823,500.44592,,-0.30903596,0.2636944,0.15546069,0.09960565
7,1,350,-393.5017,429.00916,,-0.20897394,0.14085495,0.07824159,0.037187614
8,1,400,-249.93895,288.0978,,-0.096805274,0.20441484,0.05653709,0.1482046
9,1,450,-231.34035,257.4454,,-0.13720953,0.13839674,0.04720907,0.109550536
10,1,500,-219.16684,236.15575,0,-0.059197307,0.15223682,0.021710783,0.082620114
11,2,550,-239.40274,245.721,,-0.012490183,0.016643405,0.006003149,0.027772896
12,2,600,-232.86305,238.98193,,-0.022921383,0.023226261,0.0025518164,0.007358268
13,2,650,-221.1446,234.3674,,-0.07361686,0.030332208,0.013535567,0.007989235
14,2,700,-224.46266,231.10358,,-0.036473423,0.01673162,-0.007017277,0.014026232
15,2,750,-229.44337,234.62128,,-0.01548633,0.02223146,0.001715675,0.005516164
16,2,800,-232.42139,234.52574,,-0.054067463,-0.025579095,0.008555271,0.0090281665
17,2,850,-220.40822,228.19826,,-0.05559066,0.0028443336,0.0102060735,0.023741275
18,2,900,-216.5292,233.70651,,-0.08061093,0.047508955,0.007237017,0.0071003065
19,2,950,-217.93086,227.29797,,-0.07131812,0.008171797,0.0020745695,0.014235944
20,2,1000,-220.88019,224.52695,1,-0.0036934018,0.01662898,-0.006164886,0.0098934695
