,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,54.119785,-45.97048,,0.17002726,1.4329312,0.6908747,2.3642747
1,1,50,47.617054,1193.0322,,0.025272429,0.96594596,0.5401361,1.1206522
2,1,100,43.567577,616.6675,,-0.05569446,0.73434734,0.5217583,0.71124566
3,1,150,40.882523,317.12366,,-0.1238862,0.59617877,0.3459891,0.4748968
4,1,200,37.837807,225.84702,,-0.06401861,0.52062345,0.34916943,0.36097524
5,1,250,15.808125,28.54834,,-0.16022128,0.12574887,0.18811005,0.10882969
6,1,300,10.859602,11.759346,,-0.1166417,0.07330418,0.15374683,0.051195905
7,1,350,11.495436,11.656799,,-0.08054921,0.0884912,0.16170296,0.07640523
8,1,400,10.547837,14.337876,,-0.06689739,0.09569669,0.16795826,0.0890412
9,1,450,10.860188,2.7198277,,-0.07125381,0.04346907,0.13746893,0.035995208
10,1,500,12.273682,3.8670712,0,-0.031243026,0.092690706,0.14065258,0.054135606
11,2,550,-0.34800828,17.886597,,-0.011567771,-0.04556477,0.09627105,0.030553572
12,2,600,2.4378324,19.140736,,-0.016343564,-0.083640695,0.11474268,0.034552105
13,2,650,4.6265254,11.263771,,-0.031007051,-0.118549824,0.08339891,0.04240071
14,2,700,6.8856664,3.8679924,,-0.02267924,-0.09211588,0.07238828,0.019989103
15,2,750,7.192538,8.52891,,0.03845203,-0.06363559,0.09438598,0.0329569
16,2,800,7.4259048,5.2508063,,0.031467795,-0.07284236,0.081270084,0.03525819
17,2,850,9.757847,9.265726,,-0.055289686,-0.062870145,0.094004914,0.02885437
18,2,900,7.795229,1.9782724,,-0.0066863,-0.1285764,0.06803489,0.020373657
19,2,950,10.232762,1.5771484,,-0.023988992,-0.059283495,0.07660009,0.013214119
20,2,1000,10.078417,3.988299,0,0.051653862,-0.036904454,0.083719105,0.026756763
21,3,1050,10.882072,25.861307,,-0.028550714,-0.049516916,0.081408456,0.01753848
22,3,1100,6.9361753,27.135796,,0.0004579425,-0.07225311,0.07370363,0.002889663
23,3,1150,9.261723,13.461418,,-0.0060465336,-0.062026978,0.050229743,0.018768929
24,3,1200,8.369977,33.591778,,-0.047778487,-0.07390368,0.07733311,0.018997155
25,3,1250,8.055347,24.668098,,0.015692294,-0.011221051,0.0820058,0.004807666
26,3,1300,3.3987823,17.314617,,0.011660397,-0.022133589,0.0573987,0.009847775
27,3,1350,0.45001975,36.732803,,0.050896466,0.023331165,0.07505193,0.0051310956
28,3,1400,-1.9125568,15.278007,,0.025725305,-0.01312089,0.03710986,0.008427426
29,3,1450,-2.62207,8.410467,,0.0016777515,-0.028028369,0.021672085,-0.00076893345
30,3,1500,-2.7022028,21.853561,0,0.049445927,0.020896792,0.035098955,0.008863702
31,4,1550,-7.548203,13.169355,,-0.0046089888,-0.032384634,0.019936845,0.0071427897
32,4,1600,-9.56152,8.975197,,-0.06365317,-0.058094025,0.018089093,-0.0068914145
33,4,1650,-10.193916,1.0982618,,-0.043543458,-0.038229704,-0.0012419373,-0.004999183
34,4,1700,-9.2550955,18.30373,,0.0032992363,0.0031483173,0.020021327,-0.0022948235
35,4,1750,-13.207405,11.859163,,-0.07165524,-0.06602931,0.01263912,-0.0039587766
36,4,1800,-11.9223995,6.2775927,,-0.0579412,-0.039711952,0.0066731274,0.0011859536
37,4,1850,-9.494817,17.05363,,-0.015488774,-0.013039708,0.024710037,0.012104161
38,4,1900,-11.541623,0.28131914,,-0.045005023,-0.034222007,-0.006052155,-0.009561881
39,4,1950,-9.910231,10.1080475,,-0.04416409,-0.028692126,0.02134619,-0.003787998
40,4,2000,-10.862571,7.687918,0,-0.042813063,-0.038309813,0.014192298,-0.006531924
41,5,2050,-12.377161,25.369701,,-0.010633558,-0.028266907,0.011165172,0.0010093898
42,5,2100,-11.123557,101.55849,,0.04373926,0.07681131,0.03316182,0.017865919
43,5,2150,-14.793153,15.295513,,-0.018825084,-0.011278272,-0.0066783577,-0.0022895671
44,5,2200,-13.600664,36.388412,,-0.012179345,-0.046610594,0.0088365525,-0.0031173192
45,5,2250,-13.371324,35.04528,,0.030303776,0.033047438,0.005879499,0.0106609315
46,5,2300,-14.308737,21.444084,,0.022804022,0.023384094,-0.0049586967,-0.006177753
47,5,2350,-12.275849,13.368742,,0.01108855,0.0024666786,-0.00041440874,-0.0061292835
48,5,2400,-11.273888,10.837432,,0.01481992,0.0029023886,-0.008964013,0.0020576268
49,5,2450,-9.685249,16.906641,,-0.018130451,0.0052398443,0.00950598,0.004486181
50,5,2500,-10.053108,43.337708,0,-0.035827458,-0.0472641,0.012215078,-0.008852873
51,6,2550,-16.573402,43.31233,,0.011504114,-0.02026546,-0.0041169636,-0.006755676
52,6,2600,-14.845516,52.135605,,-0.025714606,-0.0058016777,-0.00971242,-0.00039996952
53,6,2650,-14.067658,210.48564,,0.06176877,0.054430366,0.030933544,0.012342393
54,6,2700,-18.089075,68.679504,,0.016191125,0.03366351,0.022256196,0.01919315
55,6,2750,-19.546682,36.681923,,-4.8935413e-05,-0.003391862,-0.018768929,-0.020451728
56,6,2800,-19.508142,25.74004,,0.023366094,0.02150464,0.0038390532,0.0006455481
57,6,2850,-17.566856,36.19056,,0.013373911,0.036591172,0.0028003082,0.010980226
58,6,2900,-23.981968,27.342995,,0.011083603,0.030878782,-0.0045420937,0.0054591
59,6,2950,-16.754871,155.46188,,-0.028503805,-0.04439068,0.0002892539,-0.0022796765
60,6,3000,-19.05678,74.74292,0,0.039577365,0.040929914,0.0046441555,-0.004096985
61,7,3050,-25.82146,162.69102,,-0.033879638,-0.027537584,0.0065872446,0.0030188411
62,7,3100,-19.966082,469.73987,,-0.049141347,-0.04597819,0.016862832,-0.0028256997
63,7,3150,-21.167885,140.98477,,-0.011188149,-0.026822925,0.022159964,0.0037828162
64,7,3200,-24.53398,85.51078,,-0.009806603,0.008327603,0.010414578,0.013989642
65,7,3250,-20.964516,241.19998,,0.023123622,-0.0072642565,0.024962567,-0.007472623
66,7,3300,-21.553093,129.83704,,0.005053103,-0.002558589,0.024220377,-0.0024526082
67,7,3350,-22.86485,30.419838,,-0.016229361,-0.0064445734,0.00717251,0.00053974986
68,7,3400,-23.156366,64.82183,,-0.015282512,-0.0071760416,0.015483864,0.007131912
69,7,3450,-23.762495,67.15276,,-0.0008018613,0.011929035,0.002947867,0.0040555075
70,7,3500,-25.84816,20.884811,1,-0.009152383,0.0017410517,-0.0022945553,-0.0010936297
