,k,iteration,H,cost,converged,R1,R2
0,0,0,2.376089,-2.3758597,,-0.013754785,0.006342015
1,1,50,2.3881829,0.80761695,,-0.005935967,0.0053553986
2,1,100,2.3297338,-0.25508046,,0.004970908,0.0040967227
3,1,150,2.3517687,-0.4453783,,-0.0039023757,0.0047853184
4,1,200,2.3825676,-1.1394616,,-0.00020724535,0.0049818843
5,1,250,2.416894,-0.9773556,,-0.00053966045,0.0053384956
6,1,300,2.246107,-0.30622208,,0.004804969,0.0039635813
7,1,350,2.3213232,-1.2221305,,-0.0017562509,0.004347348
8,1,400,2.3452854,0.6175301,,-0.005662918,0.0052141794
9,1,450,2.2824903,2.3209777,,0.008250177,0.0048993817
10,1,500,2.021664,4.168543,,0.010584354,0.0034315558
11,1,550,2.077971,0.74154186,,0.006222844,0.0042031496
12,1,600,2.1032963,-1.0696619,,0.00088727474,0.0044593085
13,1,650,2.0773969,-0.7556828,,0.0029477477,0.0042124894
14,1,700,2.05085,-0.54760265,,0.0039755106,0.003776276
15,1,750,2.145622,-1.0201076,,0.0011510849,0.0046027484
16,1,800,2.257719,6.649929,,-0.011777282,0.0062808115
17,1,850,2.1860344,1.0484743,,-0.00642848,0.004833717
18,1,900,2.0945742,4.0256243,,0.0102494955,0.00416555
19,1,950,2.073697,-1.1977158,,0.0008701682,0.004094195
20,1,1000,2.0653696,-0.5141232,,0.0030103326,0.004686451
21,1,1050,2.131306,3.7704966,,-0.009627342,0.005034911
22,1,1100,2.105497,0.6754899,,-0.005735457,0.004766998
23,1,1150,2.0299804,-1.0362351,,0.0018802881,0.004042205
24,1,1200,2.0691361,-1.0779607,,-0.0010520816,0.0043262723
25,1,1250,2.118802,-0.58137715,,-0.0028454065,0.0047594286
26,1,1300,2.0970848,-0.52872336,,-0.0034099221,0.0044429335
27,1,1350,2.0383103,0.3757453,,0.00592798,0.0036249366
28,1,1400,2.0787768,-0.9101831,,0.0020074844,0.0043979404
29,1,1450,2.059825,-0.1211524,,0.0047103167,0.0040726364
30,1,1500,2.0601122,-0.55619955,,0.00254035,0.0048605427
31,1,1550,1.9931881,4.493675,,0.010851324,0.003462086
32,1,1600,2.0679476,-1.2336414,,0.00096285343,0.0039697657
33,1,1650,2.1545966,-0.68284845,,-0.0026465058,0.0047361343
34,1,1700,2.0209925,-0.98800755,,-0.0016147494,0.004248798
35,1,1750,1.94609,0.81774735,,0.006635487,0.0033536628
36,1,1800,1.8934197,5.402301,,0.011664927,0.0031374972
37,1,1850,1.9328177,0.16848135,,0.005458176,0.0034977556
38,1,1900,1.5184674,-0.22726762,,0.0036957264,0.0034879223
39,1,1950,1.442363,11.349704,,-0.015130222,0.005188228
40,1,2000,1.5249145,1.6143279,,0.0069841146,0.0037425915
41,1,2050,1.5112377,0.9547154,,0.0058813095,0.0038378723
42,1,2100,1.6012589,-0.60736215,,0.0016880035,0.0041265697
43,1,2150,1.5701996,-0.6614951,,0.00020462275,0.0042581945
44,1,2200,1.6160402,-0.80960584,,-0.0003529191,0.004000517
45,1,2250,1.5230936,27.672192,,-0.022983849,0.0074597835
46,1,2300,1.4749277,4.1428022,,-0.009018481,0.005569704
47,1,2350,1.4680603,0.10774338,,0.0032132864,0.0046033533
48,1,2400,2.052875,35.01514,,-0.026336074,0.006911692
49,1,2450,2.0555913,76.2039,,-0.03859526,0.008694584
50,1,2500,1.9963793,-0.7148588,,-0.00019174814,0.005059016
51,1,2550,1.9380155,-0.2167443,,0.0031402707,0.0049562207
52,1,2600,1.9304547,0.053836584,,0.0043764114,0.004531319
53,1,2650,1.9389598,-0.5746931,,0.0009896159,0.005128937
54,1,2700,1.873927,1.2821611,,0.006822288,0.0040716273
55,1,2750,1.936597,-0.42999506,,0.0024929643,0.0048905183
56,1,2800,1.9782383,-0.5550947,,-1.6629696e-05,0.005335035
57,1,2850,1.966208,-0.718081,,-0.0003899932,0.0049810084
58,1,2900,2.071702,0.8464954,,-0.004563093,0.0061271633
59,1,2950,1.8341528,4.9965696,,0.011127353,0.0035772142
60,1,3000,1.949541,-0.41107738,,-0.0015931726,0.005313292
61,1,3050,2.0105722,0.69219327,,-0.0046182275,0.0057207765
62,1,3100,1.9470379,-0.41065454,,0.0024418235,0.004976461
63,1,3150,1.9373915,-0.25260735,,-0.0016466975,0.005566334
64,1,3200,1.7420906,2.0479255,,0.007471919,0.0044688643
65,1,3250,1.7533115,-0.23333156,,0.0012138486,0.0053783054
66,1,3300,1.769443,3.9910812,,0.009566247,0.0048679966
67,1,3350,1.6963671,0.30482256,,0.0035507083,0.0052360543
68,1,3400,1.7617041,-0.08454168,,-0.0018057823,0.0055029443
69,1,3450,1.7415347,-0.41328168,,-8.314848e-05,0.0051534595
70,1,3500,1.8421164,-0.22507739,,0.0015631914,0.0054678344
71,1,3550,1.754856,-0.31853342,,0.0010731816,0.005251165
72,1,3600,1.77863,-0.3569883,,0.00087338686,0.005260231
73,1,3650,1.7439862,4.7556376,,0.01075691,0.003779069
74,1,3700,1.7731785,0.71730506,,0.0053629875,0.0045878137
75,1,3750,1.8397565,-0.48441744,,0.00093597174,0.005121595
76,1,3800,1.77413,0.4569496,,0.005172074,0.0042274394
77,1,3850,1.844072,-0.53858244,,0.0015768409,0.004860387
78,1,3900,1.8045013,0.11215532,,0.0037468076,0.0049289516
79,1,3950,1.7666886,-0.2173158,,0.002981007,0.0047011757
80,1,4000,1.7891194,0.31885016,,0.004604399,0.004578089
81,1,4050,1.8327655,2.016769,,0.007752657,0.0041093803
82,1,4100,1.9006436,-0.58411705,,0.00279814,0.0043012723
83,1,4150,1.8563263,-0.66517556,,-0.00082468987,0.004810707
84,1,4200,1.8134472,2.6284444,,0.0086580515,0.0037250477
85,1,4250,1.8615787,-0.41965103,,0.0031864047,0.0043226588
86,1,4300,1.7381101,8.3924885,,0.013771355,0.0036002435
