,k,iteration,H,cost,converged,R1,R2
0,0,0,-21.745848,602.2747,,1.6381454,24.038414
1,1,100,-22.233965,24.188488,,-0.020772934,6.252202
2,1,200,-22.579327,23.112495,,-0.51479435,3.2246466
3,1,300,-22.672003,23.322634,,-0.33767223,3.5914626
4,1,400,-22.615843,23.032732,,0.29797745,2.872107
5,1,500,-22.573431,22.702389,,-0.22749805,1.5897813
6,1,600,-22.520718,23.195177,,-0.14794731,3.6697803
7,1,700,-22.72506,22.956778,,-0.1347351,2.1485376
8,1,800,-22.37467,22.802158,,0.30604172,2.9079354
9,1,900,-22.562868,22.76498,,-0.1454897,2.005261
10,1,1000,-22.496006,22.864717,,-0.09129238,2.7140179
11,1,1100,-22.42002,22.638163,,-0.016145706,2.0886893
12,1,1200,-22.50738,22.684492,,-0.28239346,1.8607855
13,1,1300,-22.503582,22.798347,,0.07825184,2.4267676
14,1,1400,-22.490942,22.69683,,-0.029014587,2.0290189
15,1,1500,-22.54153,22.635162,,-0.11996555,1.363178
16,1,1600,-22.25955,22.520311,,0.0013179779,2.283684
17,1,1700,-22.551872,22.780264,,0.17907143,2.1297345
18,1,1800,-22.545662,22.829195,,-0.11449909,2.3785617
19,1,1900,-22.557575,22.719847,,-0.042806625,1.8009984
20,1,2000,-22.417507,22.72613,0,-0.12653923,2.4812176
21,2,2100,-22.514027,22.950083,,0.01826191,1.3764849
22,2,2200,-22.628408,23.305384,,0.30411243,1.9550474
23,2,2300,-22.567717,23.256622,,-0.13640785,1.9776413
24,2,2400,-22.624853,23.000074,,0.011966705,1.2152331
25,2,2500,-22.705593,23.068295,,-0.1486988,1.1726484
26,2,2600,-22.583569,23.097952,,0.132864,1.5758862
27,2,2700,-22.48865,22.987143,,-0.15536594,1.5266345
28,2,2800,-22.662083,23.033358,,-0.12438011,1.1977756
29,2,2900,-22.664831,23.123487,,-0.022359848,1.4332981
30,2,3000,-22.766148,23.055325,,-0.3809986,0.9390749
31,2,3100,-22.58777,22.944351,,-0.22077656,1.149687
32,2,3200,-22.6147,23.023705,,0.1353445,1.307246
33,2,3300,-22.74611,22.925964,,0.12176895,0.64440167
34,2,3400,-22.598566,23.070065,,0.008865356,1.4670191
35,2,3500,-22.732471,23.099415,,-0.1486845,1.1842415
36,2,3600,-22.600647,22.939947,,-0.063238144,1.1135614
37,2,3700,-22.771938,23.147902,,0.096185684,1.2188892
38,2,3800,-22.66964,23.06888,,-0.21706009,1.2656715
39,2,3900,-22.563784,22.957191,,0.1604662,1.2657058
40,2,4000,-22.669453,22.916964,0,0.07407856,0.8534415
41,3,4100,-22.833,23.061493,,0.08222389,0.5826645
42,3,4200,-22.892908,23.142715,,-0.029872894,0.6295413
43,3,4300,-22.721218,23.107523,,-0.3568077,0.8815923
