,k,iteration,H,cost,converged,R1,R2
0,0,0,-21.691519,6377.9985,,7.5668564,79.366554
1,1,100,-22.794014,25.862986,,1.3825965,7.71154
2,1,200,-22.854088,23.451588,,0.14827871,3.4536958
3,1,300,-22.842018,22.94554,,0.13800335,1.4322643
4,1,400,-22.821375,22.936752,,-0.048213005,1.5182943
5,1,500,-22.777193,23.045366,,0.1984868,2.3073952
6,1,600,-22.557928,23.094803,,0.61327887,3.2189107
7,1,700,-22.750523,22.928247,,0.24584341,1.8692374
8,1,800,-22.605417,22.807894,,0.43211174,1.9654062
9,1,900,-22.58876,22.726353,,0.28936768,1.6334333
10,1,1000,-22.81296,22.877214,,-0.11839247,1.1274157
11,1,1100,-22.653267,22.872768,,0.2717967,2.0775406
12,1,1200,-22.614458,22.784983,,0.22161007,1.8334076
13,1,1300,-22.686234,22.84789,,0.091398716,1.7957706
14,1,1400,-22.528603,22.945492,,0.28848743,2.8730717
15,1,1500,-22.647547,22.808746,,0.08540821,1.7935152
16,1,1600,-22.679855,22.838257,,0.29640436,1.7550437
17,1,1700,-22.63305,22.840887,,0.0678792,2.0376751
18,1,1800,-22.634676,22.811142,,0.26554394,1.8597829
19,1,1900,-22.575682,22.717236,,0.07370567,1.6809711
20,1,2000,-22.562935,22.884583,0,0.23880863,2.5250564
21,2,2100,-23.002666,23.01385,,-0.06710625,0.049260616
22,2,2200,-22.92455,23.063564,,-0.117754936,0.50785935
23,2,2300,-22.956053,23.043484,,-0.062335968,0.32983232
24,2,2400,-22.948322,23.120878,,0.015776157,0.60851526
25,2,2500,-22.846546,23.028011,,-0.058608532,0.64192295
26,2,2600,-22.936628,23.033897,,0.29893112,0.3190831
27,2,2700,-22.806362,23.022083,,-0.025318146,0.7463056
28,2,2800,-22.93156,23.019394,,0.022356033,0.32474744
29,2,2900,-22.914864,23.05243,,-0.053007126,0.49979746
30,2,3000,-23.016489,23.048298,,0.11482239,0.11010754
31,2,3100,-22.933857,23.040678,,-0.044301987,0.3958217
32,2,3200,-22.850447,22.996754,,0.008545876,0.5241873
33,2,3300,-22.821356,23.026854,,0.22123861,0.6891712
34,2,3400,-22.897957,23.062529,,-0.0005092621,0.5842198
35,2,3500,-22.966694,23.13131,,0.033542633,0.58156145
36,2,3600,-22.765326,23.09778,,0.09008837,1.0768723
37,2,3700,-22.78642,23.043629,,0.35431385,0.8253616
38,2,3800,-22.879816,23.030924,,0.1945405,0.51916325
39,2,3900,-22.86895,23.084682,,0.14243364,0.73105085
40,2,4000,-22.863842,23.050945,0,-0.027584076,0.6577693
41,3,4100,-23.039253,23.061327,,0.10445976,0.06013894
42,3,4200,-22.933315,23.072966,,-0.041001797,0.41425765
43,3,4300,-22.919765,23.059103,,-0.0060138702,0.41156483
44,3,4400,-22.814219,23.093822,,0.10582113,0.77527523
45,3,4500,-22.912891,23.118296,,0.24780655,0.5684881
46,3,4600,-22.862463,23.139109,,0.16787958,0.762321
47,3,4700,-22.947237,23.053082,,0.20599937,0.29824185
48,3,4800,-22.787914,23.05728,,0.14946365,0.7455585
49,3,4900,-22.879288,23.05202,,0.1942296,0.48667526
50,3,5000,-22.874973,23.046383,,0.27913618,0.47267985
51,3,5100,-23.037714,23.098722,,0.08814049,0.17954469
52,3,5200,-22.878376,23.013483,,0.21724606,0.37997723
53,3,5300,-22.817583,23.084236,,0.15749264,0.7378986
54,3,5400,-22.910564,23.100395,,0.12631845,0.539763
55,3,5500,-22.868353,23.095537,,0.17558956,0.63412046
56,3,5600,-22.944809,23.20398,,0.2588811,0.707857
57,3,5700,-22.87146,23.09876,,0.23679304,0.6277261
58,3,5800,-23.042885,23.080853,,0.022899628,0.11558616
59,3,5900,-23.058626,23.043266,,-0.12387133,-0.042732
60,3,6000,-22.855919,23.075554,1,0.04379511,0.6254108
