,k,iteration,H,cost,converged,R1,R2
0,0,0,2.3193367,-2.3193016,,-0.003462553,0.0047966405
1,1,50,2.1972666,1.5940182,,0.007923484,0.003611661
2,1,100,2.092285,3.4511535,,-0.008427858,0.0063118916
3,1,150,2.1271112,0.55877304,,0.006220758,0.0038755462
4,1,200,2.0681298,12.89979,,0.017160416,0.0022087386
5,1,250,2.071068,0.57531095,,0.006659448,0.002929049
6,1,300,2.1010177,-1.2964962,,-0.0018733144,0.0035469881
7,1,350,2.1525652,-0.8506534,,-0.0035526752,0.003662886
8,1,400,1.700112,0.24487376,,0.0044959188,0.0043227803
9,1,450,1.6194446,-0.68065524,,0.001873672,0.003907063
10,1,500,1.8980157,22.343327,,-0.020867646,0.007026252
11,1,550,1.779704,2.7355485,,-0.007558942,0.005759119
12,1,600,1.675098,17.030838,,-0.017937303,0.0072368416
13,1,650,1.6273675,5.595855,,-0.009894431,0.0068238336
14,1,700,1.5438315,0.051382065,,0.0006171465,0.0056145703
15,1,750,1.559205,3.198998,,-0.0070741177,0.0067172106
16,1,800,1.56413,0.87931335,,-0.0036283135,0.0059753
17,1,850,1.5203192,-0.070325375,,8.0764294e-05,0.0053845476
18,1,900,1.4246814,3.5557477,,-0.0074439645,0.006648006
19,1,950,1.5085576,1.8944392,,-0.005281627,0.006337535
20,1,1000,1.4136221,3.7489588,,0.0086526275,0.0053276313
21,1,1050,1.6104871,0.7273768,,-0.0038152933,0.0056745764
22,1,1100,1.5695195,-0.022524357,,0.00011175871,0.0055612423
23,1,1150,1.4801304,1.7004223,,0.0063129663,0.0048741675
24,1,1200,1.4362378,0.11188114,,7.367134e-05,0.005563897
25,1,1250,1.387546,11.207968,,0.0153846145,0.003901781
26,1,1300,1.4824469,1.11271,,0.005415499,0.004751369
27,1,1350,1.5267801,-0.28192866,,0.0010012984,0.004888193
28,1,1400,1.4541658,0.62699544,,-0.0032023191,0.005600748
29,1,1450,1.4785925,0.2844162,,0.0015966892,0.005719332
30,1,1500,1.1375641,113.48349,,-0.046634972,0.010844381
31,1,1550,1.1676605,32.981712,,-0.024810135,0.008212469
32,1,1600,1.1249931,6.5660524,,-0.010707915,0.0062579126
33,1,1650,1.0844854,7.2867026,,-0.011294663,0.006313031
34,1,1700,1.0124848,1.1658652,,-0.0037566423,0.0054272125
35,1,1750,1.059999,1.989635,,-0.0053846836,0.005656665
36,1,1800,0.97373873,2.0400584,,-0.0050259233,0.005917435
37,1,1850,1.104837,0.5721054,,0.0040094852,0.00417886
38,1,1900,0.9657126,0.54882413,,0.0024514794,0.0049275737
39,1,1950,1.2539414,1.5885097,,-0.0049732924,0.005667044
40,1,2000,1.0665542,0.74865484,,-0.0026053786,0.0054328796
41,1,2050,0.99728197,0.4174158,,0.0018841624,0.004974323
42,1,2100,1.060567,-0.03369677,,0.00024437904,0.0045252275
43,1,2150,0.92062736,1.3513174,,-0.0029460192,0.006062992
44,1,2200,1.0527273,0.3842033,,0.002738893,0.0046083704
45,1,2250,1.0128459,1.5194689,,0.00539726,0.004638521
46,1,2300,0.97393155,0.38737512,,-0.00022286177,0.005213105
47,1,2350,1.0145693,0.48512053,,0.00303483,0.0045589036
48,1,2400,1.0052838,0.56005955,,0.002554357,0.004978165
49,1,2450,1.0225315,0.9753133,,0.0044264197,0.0045126164
50,1,2500,0.94997525,0.5272887,,-0.0013381839,0.005268258
51,1,2550,1.039089,0.14281428,,0.00010639429,0.004860735
52,1,2600,1.0185143,0.8179947,,-0.0027899146,0.0053802
53,1,2650,1.0496929,0.66156876,,0.0038049817,0.0044437987
54,1,2700,1.1723503,0.13888574,,0.0016469359,0.0048489505
55,1,2750,1.1582276,0.85891616,,-0.003311038,0.005420323
56,1,2800,1.2071431,-0.118593335,,0.0009512305,0.0045679486
57,1,2850,1.066603,0.045706272,,0.00025373697,0.004709756
58,1,2900,1.2477573,-0.18732715,,-0.0010738969,0.00447832
59,1,2950,1.2092786,0.16962755,,0.0027724504,0.0044600046
60,1,3000,1.1957963,0.5337081,,-0.002832532,0.005154304
61,1,3050,1.2321516,-0.1448474,,0.001562357,0.0043937596
62,1,3100,1.2126362,0.44239986,,-0.0025364757,0.0051640114
63,1,3150,1.1532929,3.7793624,,0.0091279745,0.003915762
64,1,3200,1.1603702,0.16008937,,0.0030994415,0.004099104
