,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,11.496416,1703.3962,,3.015364,-5.4124103,26.21383,31.453794
1,1,50,11.869915,-11.790161,,2.7730367,-4.420354,29.951515,25.898872
2,1,100,11.951096,-11.841668,,3.344803,-4.7050257,36.973305,28.074835
3,1,150,11.946703,-11.853383,,2.8436341,-4.434959,33.941406,26.203506
4,1,200,11.949655,-11.851095,,2.954367,-4.6921444,34.023487,27.979511
5,1,250,11.933757,-11.853419,,2.6058452,-4.5026207,29.845804,26.247206
6,1,300,11.967009,-11.858846,,3.3281255,-4.7257137,36.490456,28.253998
7,1,350,11.973264,-11.859121,,3.2041588,-4.7163353,38.148853,28.195906
8,1,400,11.9587345,-11.859399,,3.1056933,-4.4982653,35.272842,26.69585
9,1,450,11.9584255,-11.862678,,3.0169663,-4.624426,33.511936,27.593866
10,1,500,11.966581,-11.867162,,3.0597606,-4.678606,34.41443,27.799076
11,1,550,11.9751,-11.871098,,3.0168724,-4.7229495,35.23998,28.403894
12,1,600,11.976356,-11.856001,,3.6739976,-4.607426,39.924107,27.900286
13,1,650,11.974346,-11.867979,,3.4399056,-4.586274,36.557495,27.532148
14,1,700,11.958054,-11.854166,,3.312634,-4.8809547,34.332542,29.397738
15,1,750,11.963737,-11.857648,,3.2948835,-4.6679163,36.229702,27.866236
16,1,800,11.965198,-11.863067,,3.1429095,-4.516242,36.13695,26.579447
17,1,850,11.972389,-11.871381,,3.487347,-4.777671,34.429638,28.280455
18,1,900,11.958142,-11.8580885,,2.9741743,-4.5988817,34.918453,27.418537
19,1,950,11.972727,-11.867878,,3.3332005,-4.7537518,35.562088,28.25949
20,1,1000,11.963053,-11.869312,0,2.77805,-4.3966537,34.28606,25.927225
21,2,1050,11.844542,-11.464942,,1.9984286,-4.1487513,23.144197,24.735077
22,2,1100,11.914185,-11.465454,,2.295078,-4.3653193,27.37942,25.604954
23,2,1150,11.878759,-11.487055,,2.0097613,-4.1434107,24.398964,24.402683
24,2,1200,11.812336,-11.461423,,1.4939953,-4.0227947,21.798471,23.822979
25,2,1250,11.820621,-11.467284,,1.9009614,-4.096423,21.935379,23.840742
26,2,1300,11.8721285,-11.471813,,1.8700069,-4.2164755,24.20376,25.293943
27,2,1350,11.857882,-11.4612,,1.8985461,-4.0860662,24.869385,24.318844
28,2,1400,11.830685,-11.470317,,1.6566387,-3.9632554,22.766489,23.614445
29,2,1450,11.884195,-11.467855,,2.1074724,-4.35345,24.911577,25.769913
30,2,1500,11.828859,-11.462888,,1.7182442,-4.1588006,22.271215,24.538969
31,2,1550,11.850543,-11.470488,,1.947148,-4.2144012,23.018724,24.89168
32,2,1600,11.851881,-11.474356,,1.9664738,-4.1009026,23.304749,24.414545
33,2,1650,11.857608,-11.466653,,1.9067371,-4.31559,23.516037,25.23967
34,2,1700,11.864713,-11.481169,,1.9352449,-4.1855717,23.467804,24.719696
35,2,1750,11.833879,-11.464606,,2.022226,-4.117674,22.477129,24.581488
36,2,1800,11.910588,-11.457613,,2.2204788,-4.3921037,27.38016,25.935452
37,2,1850,11.865266,-11.473635,,1.9255799,-4.23217,23.761278,25.056011
38,2,1900,11.874958,-11.476396,,2.1020472,-4.321807,23.98056,25.348072
39,2,1950,11.847841,-11.471238,,1.8726192,-4.17134,23.205347,24.438353
40,2,2000,11.846024,-11.485109,0,1.931405,-4.2577147,21.737034,24.623549
41,3,2050,11.458887,-10.658657,,0.4142315,-2.886916,14.348365,17.136745
42,3,2100,11.351728,-10.661982,,0.28099492,-2.7017236,12.751369,15.714862
43,3,2150,11.515835,-10.670265,,0.8871209,-3.1921132,13.626,18.76762
44,3,2200,11.442515,-10.718016,,0.69999486,-2.922348,12.546135,16.73463
45,3,2250,11.4872265,-10.697261,,0.49667928,-3.0294018,13.664058,17.441965
46,3,2300,11.506507,-10.7027645,,0.6053141,-3.0838072,13.849003,17.61171
47,3,2350,11.352179,-10.678112,,0.61096585,-2.7450337,11.393398,16.400583
48,3,2400,11.459996,-10.704995,,0.6073999,-3.015164,12.772767,17.30721
49,3,2450,11.426903,-10.686587,,0.44751614,-2.8011143,13.557716,16.316412
50,3,2500,11.450783,-10.676328,,0.75175405,-2.8301542,13.839343,16.924786
51,3,2550,11.463587,-10.718877,,0.58014596,-2.9452515,12.721106,17.105219
52,3,2600,11.469557,-10.716875,,0.6129769,-3.0317833,13.4534445,16.676859
53,3,2650,11.569613,-10.688362,,0.97451186,-3.310968,14.576992,18.805285
54,3,2700,11.449312,-10.731723,,0.90190774,-2.903444,12.305515,16.746042
55,3,2750,11.426207,-10.71405,,0.8670128,-2.892758,12.161826,16.727688
56,3,2800,11.380017,-10.687684,,0.3960561,-2.533692,13.173819,15.436093
57,3,2850,11.429651,-10.732542,,0.4837168,-2.8394349,11.909969,16.574972
58,3,2900,11.456072,-10.713162,,0.5506817,-2.877728,13.499163,16.41653
59,3,2950,11.451999,-10.72151,,0.8056792,-2.8348284,13.375475,16.195446
60,3,3000,11.380611,-10.708695,0,0.54529554,-2.657297,12.926791,15.074861
61,4,3050,10.693743,-9.701222,,0.18376462,-1.4959712,7.1464953,8.884772
62,4,3100,10.670695,-9.679478,,-0.01701484,-1.638349,6.414564,9.437617
63,4,3150,10.646327,-9.73733,,0.0070289727,-1.5093064,6.4568,8.553037
64,4,3200,10.581589,-9.681931,,-0.03684578,-1.6177297,6.080772,8.731398
65,4,3250,10.612629,-9.726666,,0.082509376,-1.5997286,5.9317975,8.698602
66,4,3300,10.560029,-9.720099,,-0.23339348,-1.1885266,7.171538,7.189093
67,4,3350,10.631979,-9.730079,,0.16597445,-1.5394535,6.6018085,8.345695
68,4,3400,10.592378,-9.72761,,-0.28852612,-1.386312,6.829295,7.7638855
69,4,3450,10.672776,-9.780257,,-0.20691356,-1.6442189,6.1620946,8.587396
70,4,3500,10.494116,-9.79212,,0.17685923,-1.2854905,5.781283,6.735425
71,4,3550,10.514418,-9.742604,,-0.4044509,-1.3256974,6.5185237,6.9434986
72,4,3600,10.627043,-9.770277,,-0.0256754,-1.3499451,7.0850596,7.441536
73,4,3650,10.388764,-9.726594,,0.124161266,-1.1169548,5.7644877,6.2733626
74,4,3700,10.56299,-9.825313,,0.22255583,-1.2871375,6.2628794,6.749869
75,4,3750,10.459834,-9.66438,,0.038819306,-1.2453732,6.4083753,7.340368
76,4,3800,10.649452,-9.743433,,-0.21807814,-1.5561666,6.756688,8.265658
77,4,3850,10.532601,-9.79115,,0.0529783,-1.3430929,5.658651,7.3173385
78,4,3900,10.470343,-9.809655,,0.10734682,-1.0837331,6.1847305,5.8642597
79,4,3950,10.592569,-9.745751,,0.0100541,-1.5208726,6.393033,7.9069004
80,4,4000,10.697669,-9.802095,0,0.18527535,-1.571775,6.9742494,7.9475803
81,5,4050,10.245425,-9.301386,,-0.24426837,-1.0208077,4.3824496,5.054376
82,5,4100,10.18869,-9.212193,,-0.037541345,-0.9791455,4.5690804,5.1638856
83,5,4150,10.183927,-9.238411,,0.12509948,-0.96719265,4.817204,4.676735
84,5,4200,10.141455,-9.263106,,0.04278848,-0.8774042,4.8383837,4.095299
85,5,4250,10.248278,-9.321455,,0.0103987595,-1.0673018,4.4583054,4.828299
86,5,4300,10.356335,-9.191088,,-0.07944582,-1.3627901,4.5922055,6.581417
87,5,4350,10.1782465,-9.225048,,0.015489125,-1.0522413,4.2910457,5.199344
88,5,4400,10.140216,-9.270998,,0.20805302,-0.8742671,4.1872897,4.6115603
89,5,4450,10.312324,-9.276925,,0.23301044,-1.1629853,4.6332154,5.548012
90,5,4500,10.296353,-9.192792,,-0.02548234,-1.2074671,4.874175,5.887297
91,5,4550,10.234834,-9.227026,,0.24268496,-1.0195265,4.5676756,5.4070272
92,5,4600,10.042945,-9.258871,,0.0773336,-0.97240686,3.3114333,4.6289315
93,5,4650,10.254852,-9.249561,,0.021634601,-1.1690054,4.0010247,5.8466873
94,5,4700,10.206101,-9.243966,,-0.12724574,-1.0635014,4.3358216,5.235469
95,5,4750,10.210543,-9.283647,,0.10876562,-0.96330833,4.702327,4.624918
96,5,4800,10.256197,-9.302254,,-0.21072641,-0.8886156,4.8634496,4.7288523
97,5,4850,10.231802,-9.284336,,-0.018166339,-1.1120825,4.058422,5.3413334
98,5,4900,10.152539,-9.3263855,,0.020548768,-0.88506365,3.8516006,4.543441
99,5,4950,10.124376,-9.276441,,0.13856225,-0.8327999,4.458319,4.191409
100,5,5000,10.196379,-9.275054,0,0.18617399,-0.9656687,4.8589926,4.428478
101,6,5050,9.713513,-8.895896,,-0.07440247,-0.58091927,2.795584,2.6514
102,6,5100,9.761758,-8.747301,,-0.023156777,-0.73427963,2.7733142,3.6427472
103,6,5150,9.715072,-8.945319,,-0.013928295,-0.61455965,2.776429,2.3970244
104,6,5200,9.721765,-8.912972,,-0.06173886,-0.6491003,2.6952338,2.6865513
105,6,5250,9.697289,-8.885629,,0.069623426,-0.6115627,2.5120537,2.8781984
106,6,5300,9.757617,-8.868059,,-0.099918514,-0.67450047,2.6761858,3.124228
107,6,5350,9.711921,-8.88399,,0.15981463,-0.5841799,2.729378,2.763762
108,6,5400,9.715964,-8.90563,,0.07841515,-0.642004,2.710432,2.678345
109,6,5450,9.661524,-8.892292,,-0.057199895,-0.6750331,2.2510462,2.8776598
110,6,5500,9.720438,-8.916954,,0.007914425,-0.6047735,2.6278272,2.7301195
