,iteration,loss,H,KL
0,0,-9.357936,10.93982,
1,100,-9.828038,11.378096,
2,200,-9.842377,11.3871975,
3,300,-9.847017,11.346002,
4,400,-9.875526,11.431232,
5,500,-9.907667,11.458342,
6,600,-9.886554,11.402867,
7,700,-9.872632,11.363276,
8,800,-9.869273,11.381041,
9,900,-9.851686,11.3961935,
10,1000,-9.856177,11.432167,
11,1100,-9.864315,11.415113,
12,1200,-9.860028,11.368259,
13,1300,-9.875306,11.449431,
14,1400,-9.864311,11.427437,
15,1500,-9.893543,11.386553,
16,1600,-9.87948,11.402867,
17,1700,-9.875329,11.367777,
18,1800,-9.871076,11.391445,
19,1900,-9.8569,11.4149065,
20,2000,-9.870489,11.408677,
21,2100,-9.857325,11.444208,
22,2200,-9.885277,11.387067,
23,2300,-9.87903,11.446875,
24,2400,-9.879112,11.396459,
25,2500,-9.880045,11.4456,
26,2600,-9.875851,11.4265175,
27,2700,-9.870924,11.448107,
28,2800,-9.876796,11.356485,
29,2900,-9.89117,11.430312,
30,3000,-9.884397,11.392561,
31,3100,-9.864152,11.405924,
32,3200,-9.858327,11.439809,
33,3300,-9.874025,11.405084,
34,3400,-9.862434,11.44528,
35,3500,-9.858461,11.435564,
36,3600,-9.873835,11.419767,
37,3700,-9.882086,11.468412,
38,3800,-9.8588295,11.379069,
39,3900,-9.867497,11.413686,
40,4000,-9.8812895,11.388174,
41,4100,-9.883443,11.363514,
42,4200,-9.861671,11.411389,
43,4300,-9.8812065,11.431928,
44,4400,-9.868239,11.381796,
45,4500,-9.876649,11.440676,
46,4600,-9.879352,11.356518,
47,4700,-9.876197,11.470544,
48,4800,-9.889906,11.373138,
49,4900,-9.863021,11.40674,
50,5000,-9.88202,11.421197,
51,5100,-9.886747,11.396703,
52,5200,-9.892113,11.444459,
53,5300,-9.853629,11.446244,
54,5400,-9.868404,11.360298,
55,5500,-9.862644,11.425787,
56,5600,-9.869072,11.36693,
57,5700,-9.86594,11.473561,
58,5800,-9.87452,11.419521,
59,5900,-9.86988,11.391788,
60,6000,-9.875111,11.38742,
61,6100,-9.877722,11.46593,
62,6200,-9.882023,11.3921795,
63,6300,-9.8896675,11.393935,
64,6400,-9.880566,11.426404,
65,6500,-9.881574,11.412109,
66,6600,-9.866241,11.443186,
67,6700,-9.870837,11.496795,
68,6800,-9.866705,11.401557,
69,6900,-9.895128,11.442031,
70,7000,-9.86658,11.440726,
71,7100,-9.864887,11.485156,
72,7200,-9.864012,11.429855,
73,7300,-9.871619,11.407852,
74,7400,-9.855246,11.388468,
75,7500,-9.869492,11.419234,
76,7600,-9.880188,11.425198,
77,7700,-9.861136,11.409939,
78,7800,-9.890405,11.3931055,
79,7900,-9.865371,11.43561,
80,8000,-9.896093,11.412872,
81,8100,-9.888524,11.47764,
82,8200,-9.883644,11.485073,
83,8300,-9.861553,11.477861,
84,8400,-9.884127,11.422462,
85,8500,-9.88704,11.461277,
86,8600,-9.858526,11.445312,
87,8700,-9.874672,11.4515915,
88,8800,-9.857674,11.40548,
89,8900,-9.871689,11.409447,
90,9000,-9.892688,11.459278,
91,9100,-9.878991,11.476078,
92,9200,-9.890993,11.377765,
93,9300,-9.865736,11.39537,
94,9400,-9.880337,11.412712,
95,9500,-9.872896,11.443728,
96,9600,-9.87752,11.445648,
97,9700,-9.87004,11.43347,
98,9800,-9.86286,11.423571,
99,9900,-9.882445,11.409364,
100,10000,-9.869688,11.412224,
