,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,107.83414,190.59796,,0.35852575,4.0214295,1.5548381,16.724657
1,1,50,95.10832,65386.586,,0.40127409,3.2373428,1.2052137,10.902726
2,1,100,85.60164,33610.207,,0.08728886,2.7190418,0.79938126,7.704012
3,1,150,78.16487,18043.037,,-0.06297997,2.2964857,0.66678274,5.52449
4,1,200,71.59254,14491.999,,0.049800754,2.159245,0.62349814,4.906487
5,1,250,65.61001,9828.381,,0.027420402,1.9286008,0.6439064,3.9564018
6,1,300,0.5523264,1334.4896,,-0.3127307,1.0259259,0.42978412,1.1554416
7,1,350,-55.585617,440.60846,,-0.26115865,0.6515515,0.22693923,0.47520643
8,1,400,-87.498245,357.3722,,-0.24499553,0.5454092,0.22944552,0.36001214
9,1,450,-93.57195,389.30325,,-0.24490291,0.576957,0.23204213,0.3804764
10,1,500,-92.62967,435.03958,0,-0.17194775,0.60212016,0.2721811,0.4675709
11,2,550,-124.251816,951.041,,-0.26081663,0.51576114,0.22411677,0.34183812
12,2,600,-130.02206,998.16406,,-0.24040982,0.5341735,0.2312662,0.3729305
13,2,650,-128.81348,897.57324,,-0.21046004,0.5146742,0.19048586,0.3165293
14,2,700,-130.27063,758.09814,,-0.2815697,0.41908193,0.18151574,0.22963941
15,2,750,-124.83827,820.76447,,-0.2834906,0.45061278,0.21696958,0.25474
16,2,800,-122.73248,838.84216,,-0.27451658,0.45517564,0.2319938,0.27110493
17,2,850,-125.18014,784.21704,,-0.27871954,0.44098806,0.19791561,0.23294812
18,2,900,-119.49439,834.7224,,-0.32210296,0.4363991,0.23791412,0.2621347
19,2,950,-123.48648,729.8784,,-0.30556467,0.40510225,0.20459178,0.18647502
20,2,1000,-118.25701,692.266,0,-0.2594599,0.3909191,0.18984517,0.20110688
21,3,1050,-159.72845,1453.7085,,-0.24349794,0.39118695,0.18418127,0.20618123
22,3,1100,-156.94954,1372.8007,,-0.25691622,0.37293088,0.16814764,0.18366465
23,3,1150,-226.41301,384.7662,,-0.136275,0.02509141,0.058805972,0.003198579
24,3,1200,-214.71024,264.45248,,-0.085378766,-0.03402388,0.040182374,0.011574239
25,3,1250,-189.93787,243.02342,,-0.119072914,-0.041492343,0.032253027,-0.009009462
26,3,1300,-198.14235,240.06491,,-0.082571626,-0.03736341,0.032319613,0.014276542
27,3,1350,-189.06418,227.28532,,-0.09690085,-0.04285431,0.025668211,0.0049279183
28,3,1400,-189.1218,215.4786,,-0.06704673,-0.03182614,0.034885295,-0.00079642236
29,3,1450,-182.9892,175.66641,,-0.068889916,-0.0702312,0.025113136,0.000715062
30,3,1500,-183.47661,198.60878,0,-0.09002796,-0.070007324,0.026692182,0.008806601
31,4,1550,-195.8777,203.65617,,-0.029874682,-0.05754614,0.024334393,0.0024398714
32,4,1600,-136.27475,19.56186,,0.10022253,-0.124073744,0.008382894,-0.006816689
33,4,1650,-103.9073,-31.923607,,0.13752252,-0.12639403,0.005472079,-0.01453251
34,4,1700,-91.839745,-39.246998,,0.13940519,-0.10947001,0.0076348633,-0.0148095
35,4,1750,-85.76785,-42.300026,,0.11622989,-0.12231755,0.006205395,-0.013910361
36,4,1800,-81.93375,-45.355244,,0.09144348,-0.15267718,-0.003904473,-0.010549795
37,4,1850,-80.42979,-39.514282,,0.16605431,-0.07793224,0.025092527,-0.024045065
38,4,1900,-85.709564,-56.873596,,0.14480972,-0.14344442,0.003990233,-0.016515668
39,4,1950,-85.33067,-62.330162,,0.15414858,-0.1365968,0.0031717718,-0.022653438
40,4,2000,-79.320564,-54.282463,0,0.12660772,-0.1317966,0.008498631,-0.016698394
41,5,2050,-69.4444,70.94247,,0.046601772,-0.02004695,0.011473477,-0.021668896
42,5,2100,-65.70876,67.89142,,0.025892556,-0.022766113,0.016908057,-0.016126927
43,5,2150,-68.46115,146.14404,,-0.016501307,-0.11101246,0.0033061504,-0.019073509
44,5,2200,-57.952206,49.50573,,0.018619,-0.03193319,0.004656054,-0.025814962
45,5,2250,-50.76209,63.75707,,0.0008983016,0.030902863,0.015045002,-0.025383595
46,5,2300,-50.828915,79.760445,,0.033582628,0.04621792,0.017539762,-0.019032344
47,5,2350,-52.577843,47.670395,,0.019391,-0.015872955,0.012021907,-0.02101656
48,5,2400,-51.980732,50.525406,,0.014257073,0.014804959,0.010166816,-0.023206893
49,5,2450,-57.149834,48.994644,,0.022350907,-0.02000773,0.008015126,-0.023714125
50,5,2500,-52.771935,41.582397,0,0.03774661,-0.0027461052,0.0009507835,-0.030283734
51,6,2550,-48.037804,56.96196,,-0.027361363,-0.009624362,0.01463338,-0.026324037
52,6,2600,-46.440113,76.98123,,-0.020246059,0.029558301,0.027471654,-0.015085481
53,6,2650,-51.20648,52.435024,,-0.021062076,-0.015531659,0.007918641,-0.009949893
54,6,2700,-46.13621,86.57557,,-0.008484989,0.033869028,0.03317114,-0.01073328
55,6,2750,-49.969746,48.22681,,-0.006499976,-0.020131111,-0.00032729283,-0.017711118
56,6,2800,-49.42418,48.381752,,-0.01726833,-0.010639548,0.004983619,-0.013582248
57,6,2850,-46.32818,68.47677,,-0.0022125244,0.015484571,0.023602523,-0.016464628
58,6,2900,-47.434452,56.12446,,-0.016413778,0.000116467476,0.016615681,-0.009037804
59,6,2950,-49.82005,50.021782,,-0.0022150874,-0.011804938,0.0017955303,-0.020832125
60,6,3000,-49.80509,62.49022,0,-0.051570505,-0.03332293,0.0044207275,-0.023393873
61,7,3050,-67.81179,326.39673,,-0.034326553,-0.073688865,0.0017138198,0.0027680323
62,7,3100,-67.11847,109.599785,,0.021811306,0.012788296,0.024956487,0.009926215
63,7,3150,-65.519615,94.765274,,0.0051552057,0.009439707,0.022737235,0.0044008195
64,7,3200,-65.44239,142.98811,,0.04604578,0.030368209,0.012951851,-0.0033303052
65,7,3250,-59.306446,177.7007,,0.027006507,0.058363914,0.01795981,0.0006470233
66,7,3300,-59.440304,187.72298,,0.008220196,0.066764235,0.012834452,0.002343364
67,7,3350,-74.52024,109.97486,,0.020691931,-0.02507031,-0.0022561215,-0.007830154
68,7,3400,-67.18398,67.07375,,0.006352365,0.008996248,0.0035669059,0.0005865544
69,7,3450,-58.945824,482.1622,,0.05316782,0.098302126,0.03088393,0.03769932
70,7,3500,-70.23688,89.86531,1,0.015127718,-0.014766216,-0.0021644346,-0.013244238
